Year,Site,Rodent_SR,Rodent_SD,Camera_SR,Camera_SD,lagged_DON,Lagged_test,Lagged_Pos,Lagged_Bbss,Lagged_Bbsl,PD,SR,ntaxa,mpd_taxa,mntd_taxa,Area_ha,mntd_abund,mpd_abund,Lizard
2016,SMI,2,0.6931472,2,0.6931472,1,NA,NA,NA,NA,315.7352594,4,4,-0.333461956,-0.862938446,1193,-0.77888451,-0.342496941,0
2016,WP,4,0.846378,3,0.4377023,NA,NA,NA,NA,NA,578.5171657,7,7,0.995494214,1.367315669,1193,1.094294289,0.662194053,1
2016,JSCP,2,0.4169406,5,1.517106,NA,NA,NA,NA,NA,482.4432943,7,7,-0.446416995,-0.321344332,1193,-0.4866258,-0.628115431,1
2016,WDLP,4,0.7536357,4,0.5717528,9,NA,NA,NA,NA,482.9538259,8,8,-0.871127659,-0.755147688,1193,0.29202005,0.066229088,1
2016,HOS,3,0.6736859,2,0.2303235,NA,NA,NA,NA,NA,345.7205654,5,5,-0.709014089,-0.681267901,1193,-0.195176219,0.007286001,1
2016,TUP,2,0.5538582,4,0.5127086,8,NA,NA,NA,NA,408.8429587,6,6,-0.499327773,-0.405689705,151123,0.426558424,0.00921625,1
2016,LFY,2,0.2633611,4,0.8617728,4,NA,NA,NA,NA,401.6139924,5,5,-0.2298581,-0.370588659,151123,-0.211035114,0.148268144,1
2016,CCSP,3,0.7261865,4,0.6949828,33,NA,NA,NA,NA,418.4713494,6,6,-0.777189394,-0.422389274,151123,0.853637641,0.22355964,1
2016,SLRP,2,0.5213937,5,1.18014,73,NA,NA,NA,NA,441.7277462,6,6,-0.330182087,-0.473919089,188,0.218819,0.012158864,1
2017,SMI,0,NA,0,NA,1,1,0,0,0,0,0,0,NA,NA,188,NA,NA,0
2017,WP,2,0.6020219,6,1.331269,1,NA,NA,NA,NA,635.4802825,8,8,1.300324699,1.194126705,188,0.446303114,-0.24378499,1
2017,JSCP,2,0.5462846,3,1.039721,1,1,0,0,0,401.6139924,5,5,-0.2298581,-0.370588659,188,-0.861348527,-1.217358494,0
2017,WDLP,4,0.9042627,3,0.871928,24,24,1,0.0417,0.0417,448.461618,7,7,-0.98956822,-0.524158225,188,0.059141436,-0.101258447,1
2017,HOS,4,0.8799916,4,0.58928,19,19,4,0.2105,0.2105,437.5640219,8,8,-0.993067642,-0.722502465,57,-0.27670252,-0.432141851,1
2017,TUP,3,0.7160029,5,1.21315,49,41,1,0.0244,0.0213,476.2199542,7,7,-0.499327773,-0.405689705,57,-0.525434846,-0.610234845,1
2017,LFY,4,1.007847,5,1.320456,10,10,1,0.1,0.1,478.9062542,8,8,-0.869036419,-0.840936482,57,-0.125623707,-0.208022409,1
2017,CCSP,4,0.8447277,4,1.298428,108,104,25,0.2404,0.2376,418.4713494,6,6,-0.777189394,-0.422389274,57,0.356083791,0.02045684,1
2017,SLRP,2,0.5328162,7,1.686771,64,64,6,0.0938,0.0938,625.6787846,8,8,1.228473712,0.911608578,57,0.694857325,1.014513775,1
2018,SMI,1,0,3,0.8945511,1,1,0,0,0,375.8293288,4,4,0.084635647,0.474631796,499,0.244198985,-0.126926246,1
2018,WP,4,0.9593054,5,1.038385,2,2,0,0,0,653.5896264,9,9,1.003832018,1.027130348,499,0.686829675,0.484864114,1
2018,JSCP,2,0.5864392,3,0.5530554,1,1,0,0,0,401.6139924,5,5,-0.2298581,-0.370588659,499,-0.84546246,-0.941498654,0
2018,WDLP,3,0.9586667,6,1.242622,23,22,0,0,0,671.6545611,10,10,0.86344729,0.756122365,499,0.505519449,0.149313005,1
2018,HOS,3,0.8239701,7,1.374549,8,8,0,0,0,646.963851,9,9,1.095713545,0.872846537,499,1.433971519,1.604300603,1
2018,TUP,3,0.8321107,4,1.217862,30,29,0,0,0,477.0918037,7,7,-0.442044868,-0.33677151,12638,-0.395192092,-0.52628407,0
2018,LFY,2,0.459693,8,1.44183,10,10,2,0.2,0.2,510.1411156,9,9,-1.250642652,-0.932824218,12638,0.481277034,-0.093577924,1
2018,CCSP,5,1.163898,6,1.380462,167,166,37,0.22289,0.30723,571.4987251,10,10,-1.016765378,-0.239607977,420,0.82111338,-0.000239949,1
2018,SLRP,3,0.5105306,7,1.683519,98,93,3,0.03226,0.04301,661.0428416,9,9,1.139177574,1.02951058,420,0.471581576,0.691296698,1
2018,FL,4,1.010195,NA,NA,58,57,1,0.01754,0.03509,207.1625919,4,4,-2.673371894,-2.09656563,2775,-1.753187214,-2.50778606,1
2018,WH,4,0.8953165,5,1.258095,29,29,1,0.03448,0.06897,468.6158055,9,9,-1.129028131,-1.522012576,2775,-0.700419135,-0.741781941,1
2019,SMI,0,NA,4,1.221324,0,0,NA,NA,NA,333.1430425,4,4,-0.848772671,-0.971189026,2775,-0.947082064,-0.725944971,1
2019,WP,2,0.4741393,4,1.192259,0,0,NA,NA,NA,436.1062004,6,6,-0.342069246,-0.621774431,2775,-0.016048315,-0.096370329,1
2019,JSCP,2,0.6502538,3,0.5796289,1,1,0,0,0,494.9407091,5,5,1.608041259,1.064801243,2775,0.037976056,0.777412687,0
2019,WDLP,3,0.6492484,5,0.8772242,9,9,0,0,0.11,597.0485993,8,8,1.135261804,0.417767292,2.5,0.474219539,0.17223197,1
2019,HOS,2,0.6529539,4,1.194453,15,15,0,0,0,374.3507507,5,5,-0.349013027,-0.466868788,2.5,-0.607132449,-0.586854662,1
2019,TUP,2,0.6922953,4,0.2928843,33,33,2,0.06,0.06,408.8429587,6,6,-0.499327773,-0.405689705,2.5,0.303742056,0.037968082,0
2019,LFY,2,0.4418033,6,1.366249,2,2,0,0,0,498.4616541,7,7,-0.267107988,-0.288012746,2.5,0.445983887,0.056592576,1
2019,PUG,2,0.4791656,2,0.3488321,0,0,NA,NA,NA,334.2369971,4,4,-0.231971092,-0.375523661,2.5,-0.646451423,-0.25237208,1
2019,CCSP,3,0.6798737,5,0.8108657,88,88,15,0.17,0.19,484.4049656,7,7,-0.501403551,-0.134920975,3918,0.376179146,0.173166318,1
2019,SLRP,2,0.293673,6,1.44349,72,72,10,0.14,0.17,633.0312721,7,7,1.684315004,1.77119989,3918,1.305127956,1.643893891,1
2019,TIL,4,0.9446318,5,1.231942,2,2,0,0,0,487.6944566,9,9,-0.866837223,-0.559194942,293,-0.194063474,-0.470846629,1
2019,PR,4,0.7235302,4,1.386294,0,0,NA,NA,NA,398.915954,7,7,-1.90908415,-0.91624659,293,-1.042101506,-1.88973787,1
2019,FL,3,0.830192,1,0,71,69,4,0.06,0.13,279.7869493,4,4,-1.109824966,-1.009425802,293,-0.793560811,-0.605458242,0
2019,WH,4,0.9105664,4,1.051117,29,29,7,0.24,0.24,453.2113152,7,7,-0.632515747,-0.793432459,293,-0.739818639,-0.513090757,1
2021,SMI,0,NA,1,0,1,1,0,0,0,0,1,0,NA,NA,293,NA,NA,0
2021,WP,1,0,1,0.124250837,1,1,0,0,0,308.4523337,3,3,0.11910567,0.552785609,130,0.169411162,0.149326893,0
2021,JSCP,2,0.12693,4,0.984913448,1,1,0,0,0,435.8840961,6,6,-0.331524128,-0.677762669,130,-0.469522506,-0.08542457,0
2021,WDLP,3,0.28562,4,0.327055377,17,17,2,0.117647059,0.11765,437.7882711,7,7,-0.703970847,-1.147960688,130,0.223442429,0.0657945,1
2021,HOS,3,0.20019,5,1.043547907,14,14,2,0.142857143,0.14286,437.7882711,7,7,-0.703970847,-1.147960688,130,-0.739099687,-0.386116087,1
2021,TUP,2,0.68531,1,0,74,74,4,0.054054054,0.05405,268.3033807,3,3,-0.400718987,-0.674522339,130,-0.26173702,-0.112779436,1
2021,LFY,2,0.03277,5,1.290411135,8,8,1,0.125,0.125,436.1062003,6,6,-0.354817195,-0.639662656,151123,-0.537307445,0.104196053,1
2021,PUG,3,0.06881,0,,2,2,0,0,0,196.5285703,3,3,-2.106658012,-1.919949741,151123,-1.43442012,-1.969793977,1
2021,CCSP,4,0.11611,7,1.324290008,67,66,3,0.045454545,0.04545,578.9519406,10,10,-0.756151643,-0.296467548,151123,0.597343078,0.034855186,1
2021,SLRP,1,0,7,1.12315547,20,20,1,0.05,0.05,641.7388165,7,7,1.756149311,2.112077792,11,0.955654481,1.145527414,0
2021,TIL,6,0.44357,4,1.005544508,21,21,3,0.142857143,0.19048,490.6622251,9,9,-1.293322439,-0.851474885,11,-0.045738297,-0.253339317,1
2021,PR,3,0.08974,1,0,0,0,NA,NA,NA,278.9374022,4,4,-1.084213905,-1.108025108,11,-1.177688813,-1.258753177,1
2021,FL,5,0.39109,1,0,195,193,4,0.020725389,0.02591,290.4209709,5,5,-1.698223751,-1.225617295,11,-0.701746376,-0.761499949,1
2021,WH,3,0.2759,4,1.210926059,46,46,10,0.217391304,0.23913,453.2113149,7,7,-0.62988161,-0.760903405,11,-1.049199021,-1.024777736,1
